Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Class,x,y,Class_new,Path,,,,,,,,,,,,
057-043-X,9,12,94,-10.1,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13725408069455,27.32714321,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_12/Room_94/057-043-x.png,,,,,,,,,,,,
058-001-X,9,4,7,-7.1,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13696016573564,27.326984249612284,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_4/Room_7/058-001-x.png,,,,,,,,,,,,
058-002-X,7,5,64,-9,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13748123,27.32672203,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_5/Room_64/058-002-x.png,,,,,,,,,,,,
058-004-X,4,0,,-11.7,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13748153678563,27.32657154220549,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_4/House_0/Room_0/058-004-x.png,,,,,,,,,,,,
058-005-X,9,12,90,-8.5,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13725408069455,27.32714321,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_12/Room_90/058-005-x.png,,,,,,,,,,,,
058-007-X,9,10,55,-9.1,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13711556472455,27.32711609513018,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_10/Room_55/058-007-x.png,,,,,,,,,,,,
058-009-X,4,0,11,-6.7,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13748153678563,27.32657154220549,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_4/House_0/Room_11/058-009-x.png,,,,,,,,,,,,
058-010-X,7,6,75,-9.5,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13745472335695,27.326652368157955,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_6/Room_75/058-010-x.png,,,,,,,,,,,,
058-011-X,9,11,70,-8.7,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13703238655978,27.32718645273217,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_11/Room_70/058-011-x.png,,,,,,,,,,,,
058-012-X,10,4,87,-11.7,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13657194616044,27.32668986116248,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_10/House_4/Room_87/058-012-x.png,,,,,,,,,,,,
058-013-X,7,2,29,-9.2,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13726856032412,27.32683601680181,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_2/Room_29/058-013-x.png,,,,,,,,,,,,
058-014-X,9,6,41,-9.5,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13691437157924,27.326887650571138,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_6/Room_41/058-014-x.png,,,,,,,,,,,,
058-015-X,7,1,19,-11.3,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13715852,27.32673193853581,Feeding / holding,,,,,,,,,,,,,
059-001-X,7,0,,-6.6,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.1373688,27.32672573,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_0/Room_0/059-001-x.png,,,,,,,,,,,,
059-002-X,7,0,,-6.6,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.1373688,27.32672573,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_0/Room_0/059-002-x.png,,,,,,,,,,,,
059-003-X,7,0,,-6.6,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.1373688,27.32672573,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_0/Room_0/059-003-x.png,,,,,,,,,,,,
059-004-X,7,3,,-8.5,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13738268,27.32681575,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_3/Room_0/059-004-x.png,,,,,,,,,,,,
059-005-X,7,3,,-8.5,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13738268,27.32681575,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_3/Room_0/059-005-x.png,,,,,,,,,,,,
059-006-X,7,3,,-8.5,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13738268,27.32681575,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_3/Room_0/059-006-x.png,,,,,,,,,,,,
059-008-X,7,0,,-9.1,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.1373688,27.32672573,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_0/Room_0/059-008-x.png,,,,,,,,,,,,
059-010-X,9,0,,-9.1,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13713331005422,27.326970543563384,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_0/Room_0/059-010-x.png,,,,,,,,,,,,
059-011-X,10,0,,-9.1,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13681853195092,27.326713129436506,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_10/House_0/Room_0/059-011-x.png,,,,,,,,,,,,
059-012-X,7,2,88,-7.1,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13726856032412,27.32683601680181,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_2/Room_88/059-012-x.png,,,,,,,,,,,,
