image_file,plate,house,room,full_path
062-046-x.png,062-046-x,House_6,Room_32,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_32/062-046-x.png
056-025-x.png,056-025-x,House_6,Room_32,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_32/056-025-x.png
056-015-x.png,056-015-x,House_6,Room_78,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_78/056-015-x.png
060-047-x.png,060-047-x,House_6,Room_78,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_78/060-047-x.png
069-002-x.png,069-002-x,House_6,Room_78,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_78/069-002-x.png
076-002-x.png,076-002-x,House_6,Room_78,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_78/076-002-x.png
056-027-x.png,056-027-x,House_6,Room_78,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_78/056-027-x.png
059-022-x.png,059-022-x,House_6,Room_79,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_79/059-022-x.png
059-023-x.png,059-023-x,House_6,Room_79,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_79/059-023-x.png
058-014-x.png,058-014-x,House_6,Room_41,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_41/058-014-x.png
059-024-x.png,059-024-x,House_6,Room_39,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_39/059-024-x.png
059-025-x.png,059-025-x,House_6,Room_39,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_39/059-025-x.png
067-018-x.png,067-018-x,House_6,Room_36,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_36/067-018-x.png
062-030-x.png,062-030-x,House_6,Room_36,/Users/saraeichner/Desktop/github/mohenjo-daro/Block_9/House_6/Room_36/062-030-x.png
